,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,LABEL
Backdoor.Graybird-12f4f6331583edc2599a31940233f76e950dee226f92573abf7ad0bad10cb2c7,T1,08,73,51,89,D6,3C,B3,81,08,6B,30,4E,94,92,5A,87,43,B9,35,CC,92,BE,D4,13,55,EF,80,74,DE,BB,5B,91,89,E3,FE,1.0
Backdoor.Graybird-143c25c7cc08038a40638df3cd01232232baed4a9469f356efc615b5041c794a,T1,1A,13,8E,81,E6,3C,93,43,08,72,31,8E,B8,73,A3,86,87,75,26,18,15,75,98,53,A9,BD,80,F4,EE,7A,DF,D7,13,93,EE,1.0
Backdoor.Graybird-14818f4633cc87ac1b11b53895daa6cbc595065596c7ea86f807fb1a1ad79b72,T1,17,F2,72,C1,D9,2C,A7,92,0D,66,31,CE,A8,91,D6,42,C3,75,36,4C,61,39,E8,63,A4,DD,80,B4,8F,BA,9F,C2,57,D3,FA,1.0
Backdoor.Graybird-152a87566246d7b100a299d29e34ce080c52e714e0c2883b904d85c1144de18d,T1,28,F2,81,C1,EA,2C,A6,92,0D,67,31,8E,B8,91,D1,42,C3,74,36,4D,20,79,E4,63,A4,DE,80,75,9F,BE,9F,C2,67,D3,F6,1.0
Backdoor.Graybird-16274674297d97fdb7c53027a4e6facd681428961e31bc85dfff497056b071a4,T1,BF,23,7E,81,D6,3C,52,43,08,72,31,8E,B8,73,E3,86,87,76,2A,58,25,75,98,53,69,BD,80,F4,AE,7A,DF,D3,13,93,FE,1.0
Backdoor.Graybird-16648fd7040db9b96d76e5f70711e8c62721035832f7b87594d62b0dd9b865ea,T1,93,02,A1,83,D6,7C,E3,91,09,7A,31,CE,94,92,85,82,87,75,65,8C,A1,79,DC,23,95,DD,80,F0,CF,B7,9B,C2,9A,C3,FA,1.0
Backdoor.Graybird-16ce6a8444870c762676cc776860c1ff7daa2a2dc76abd29136a36d6538bba8a,T1,5A,73,61,85,D6,3C,B3,D1,09,6B,30,4E,A0,91,59,83,47,B9,35,CC,82,BE,94,13,69,9F,C0,74,DE,BB,0B,95,9A,A3,FF,1.0
Backdoor.Graybird-16dc33ad95a90a03f9489182cf6061392a79cbaf96cceb87bd3c6c664daff4a3,T1,21,D2,2C,41,E5,3C,93,92,0A,B3,11,8C,B8,73,A7,4E,86,32,22,2C,12,B5,94,93,AE,7D,80,79,FD,76,5F,DD,53,63,EE,1.0
Backdoor.Graybird-16dc7da8aef050616f3d99fd34b3f0410ce6a38f5a61c9ebc8e86e87195c4be3,T1,FA,72,0E,86,D6,3C,A2,95,08,75,31,8E,94,A2,82,82,83,B9,79,CC,B5,79,DC,53,7A,DD,80,F0,4F,F7,EB,C2,85,C3,B5,1.0
Backdoor.Graybird-1966b6b19ef74c24f458b6477ccb7e8c8427df6d65ea4dc5e0bffb811fbba2d7,T1,9B,13,5E,42,C5,2C,53,93,09,BA,30,8E,A4,62,D6,82,D7,75,2B,48,61,35,AC,23,79,AD,C0,F0,DE,B6,9F,D2,57,93,FF,1.0
Backdoor.Graybird-1c7dfb9affef8bef118a41d36e3e8c413f3076918a8821efeb3721af52ee5c52,T1,76,D2,38,83,C9,3C,93,43,45,B5,31,8E,94,B2,82,D2,57,75,6A,48,26,29,DC,23,65,ED,80,E0,DF,BA,EF,C3,57,D3,EA,1.0
Backdoor.Graybird-1cb523870e23e55d0d36af5a2e10472ac25390d3838c52c35b1106034132aad5,T1,39,C2,A3,C2,D9,7C,A3,52,08,79,31,8F,A4,A2,D2,81,87,75,75,48,61,79,EC,17,A5,DD,80,F0,8F,BA,9F,C3,86,D3,FA,1.0
Backdoor.Graybird-1d17564930dc9cfdb8bf4483ba9763d17dd3f549facfdbe21ad18447663adedd,T1,D6,F1,7F,83,D6,7C,E3,82,08,65,31,CF,84,92,86,82,47,79,75,8C,61,7D,D8,67,95,DE,80,F0,8F,B7,DB,C2,9A,C3,BA,1.0
Backdoor.Graybird-1d2b95795f54a30db2241b441843c8baa1319704e0bd48f022ac919e71899787,T1,67,F2,2D,83,DA,2C,97,43,44,65,32,8F,A8,B2,83,D2,43,75,6E,49,35,38,D8,23,65,EE,80,E4,9F,76,EF,D3,56,C3,B9,1.0
Backdoor.Graybird-1f987748aa836fcff784691f0f5195eaed0187c12906f016b7bbad1f9b10d20a,T1,25,D2,61,81,D6,2C,A6,93,0D,66,31,8E,B8,D1,E6,42,C3,75,36,4C,61,39,E4,63,B8,DD,80,B4,4F,BA,9F,C2,57,D3,FA,1.0
Backdoor.Graybird-1fe3c46136004caa9f4598dbd12db50b539bc0e44de422870a0150ccdf6c4297,T1,91,F1,6E,83,D6,7C,E2,82,08,65,31,CE,84,92,86,82,47,79,75,8C,61,7D,D8,67,95,DE,80,F0,8F,B7,DB,C2,9A,C3,BA,1.0
Backdoor.Graybird-201267f2b8c394b866ce09e16997ce04701a0bdaa1f5651e81d1675af4a567a6,T1,67,73,82,89,D6,3C,B3,81,08,6A,31,4F,94,A2,5A,C2,43,B9,35,CC,92,BE,D4,13,55,DF,80,74,DE,BB,5B,91,89,E3,FE,1.0
Backdoor.Graybird-20459a8ebc99703a2171b85dc321c41ccb8fdd67b606ac75c890156db25d67e2,T1,BA,13,3E,42,C5,68,53,93,0A,BB,30,CD,A4,62,D6,82,D7,75,2B,48,51,35,AC,23,B9,AD,C0,F0,DE,A6,9F,C2,57,93,FF,1.0
Backdoor.Graybird-21f994f2239ccaaddf25e98859f58e609dbc589127160c943dd884506d0f1e95,T1,8E,53,9F,82,D9,3C,93,43,08,B2,31,8E,A8,73,93,82,87,75,6A,48,25,79,D8,63,65,ED,80,F4,DE,7A,DF,D2,17,D3,F9,1.0
Backdoor.Graybird-22772293d3a3b20b3610ae1c06ab72da41745c57356905855180b45c5d43ae96,T1,C6,C2,85,C2,D9,7C,A2,52,08,75,31,8F,A4,A2,D2,81,83,79,75,88,61,7D,D8,17,95,DD,80,F0,8F,BA,DF,C3,96,D3,FA,1.0
Backdoor.Graybird-22c98fc9dac84f509083a90a332517ead8eb265fc53ddb1d16e5cfd0dab0ebe1,T1,3D,13,2C,89,DA,3C,B3,81,09,6A,31,4E,C4,81,49,C2,47,B9,75,CD,92,BE,D4,17,55,DF,80,B4,CF,FB,5B,81,8A,A3,FA,1.0
Backdoor.Graybird-23259ea20d4f481cdc1bf58894f6280ddbe3fc56d7bfbaaf11bafdf4840f8c2c,T1,46,D4,29,92,8F,3C,BD,16,CB,A1,31,FB,98,72,92,B1,CA,79,D9,00,25,14,9D,17,D0,F4,40,9D,7A,67,EE,C2,1E,9F,E8,1.0
Backdoor.Graybird-2486e00f3531d89506d2a87525b723d2508b4b8c0040824956aeca41b97d17d7,T1,5E,D2,4B,83,DA,3C,93,43,84,B1,32,8F,94,B2,D2,D2,43,75,6A,58,25,38,DC,13,65,EE,80,E4,9F,7A,EB,D3,57,D3,A9,1.0
Backdoor.Graybird-2565563f99f161ad465a603000f5a2440b83b12413930bac01d20c6d3924f79e,T1,93,13,4E,42,C9,28,93,D3,0A,BB,31,CD,A4,62,D5,82,D7,75,1B,08,51,35,AD,23,79,AD,C0,F0,DE,A6,9F,C2,57,93,EF,1.0
Backdoor.Graybird-272ea0be5ed16c1b6a1d0149a85107e382cf7dab94eb40fb49ec17acd3c00b0b,T1,74,F2,3B,83,DA,6C,93,43,44,B5,31,8F,94,B3,83,D1,47,79,AA,48,65,39,DC,23,65,ED,80,E4,DF,BA,EB,C3,46,C3,A9,1.0
Backdoor.Graybird-27c0a52403d572f0ee5abc626a7f5cd834ed6a5b7eeebeadc848a5cc091eb5d1,T1,95,C2,1F,42,C9,78,93,E2,0A,FF,20,8D,90,62,94,82,EA,35,17,48,D1,35,BD,27,BD,69,C0,F0,DD,A6,4B,D6,9B,53,FF,1.0
Backdoor.Graybird-27d4f0a222bbb2285e395dcbed061a6eeb91a69d6c8cab8c98fd1ffb244c699a,T1,F2,13,4D,83,DA,6C,92,43,48,65,31,8F,A4,B2,83,D1,47,79,79,48,35,39,D8,63,61,ED,80,F4,9F,BA,EF,C3,56,C3,B9,1.0
Backdoor.Graybird-2821c9781c0351109c2a8b9633972e2c71f46371b648d2103c2741f560b60a1b,T1,64,A3,37,89,D6,3C,B3,81,0C,6B,30,4E,A4,91,59,83,47,B9,35,CC,92,BE,D4,53,65,9F,C0,74,DE,BB,4B,81,9A,A3,FE,1.0
Backdoor.Graybird-2860ba35f778ed52b8487fe93a77c05a2d49222ba8f6cb81877c1779d13c1f4a,T1,12,03,50,82,DA,2C,97,43,45,65,32,8E,A4,B2,D3,92,83,75,6A,48,25,35,E8,23,74,EE,80,F4,9F,7A,DF,C3,17,D3,F9,1.0
Backdoor.Graybird-2a1858cfa17d4f07292362a2719d61c97a487d29a5adf45d8e8b32f3252331a2,T1,B1,F2,71,43,C9,6C,93,93,05,FA,30,8E,A0,73,92,C1,DB,75,5F,08,91,25,AD,23,79,A9,C0,E0,DE,A6,DB,D3,57,93,EE,1.0
Backdoor.Graybird-2a7c74a91f4b6f4ed632d97fc3ee8835a7a615cb15dbf6ecbb96526d06f64db6,T1,CC,F3,F7,82,C6,9C,16,03,40,B0,32,DB,85,77,C3,B2,AB,BA,ED,44,3D,69,9D,22,10,F9,95,D4,9F,69,FE,E3,17,C2,6D,1.0
Backdoor.Graybird-2b470ddd183ec9f15d7cef2e1f2daf7243e1deef16fb6e74cb75b67c5d25df18,T1,87,33,7B,42,D5,3C,83,93,09,B7,30,8D,B4,73,A7,86,CA,72,2B,08,51,65,A8,53,B9,7C,80,F4,ED,B6,9F,D6,17,93,EE,1.0
Backdoor.Graybird-2ca870cb512099a0df67fefee9eb2bf8fd53cc078919852144d6cbff26456347,T1,28,B2,F9,83,D6,6C,92,43,44,B5,31,CF,94,B2,83,D2,47,B9,BD,48,75,69,DC,23,65,ED,80,E0,8F,BA,EB,C3,56,C3,A9,1.0
Backdoor.Graybird-2ec9be730d82cf10af338e7f25781006744b9dda9c9ff484acfd2de501b05e24,T1,9E,13,B3,41,D5,3C,53,43,09,B2,30,8E,B8,73,E7,46,87,76,26,18,22,75,98,53,A9,BD,80,F4,EE,76,DF,E6,13,A3,EE,1.0
Backdoor.Graybird-31e4807b0f375d8f919a3037f2764686a46d2e41bd957f8edd8f771621a3e53f,T1,BA,23,7B,42,E6,3C,93,43,04,72,31,8E,78,B3,D3,86,87,76,26,18,25,75,98,53,B9,BD,80,E8,EE,76,DF,E6,13,93,ED,1.0
Backdoor.Graybird-32cbc565918830a83537aef008c3587ea24d2172c7ed3563ac2f4a7506a7a00d,T1,DD,63,7A,82,DA,3C,93,42,44,72,31,8E,A8,B3,D3,82,83,75,6A,58,25,75,D8,53,75,FD,80,E8,AE,7A,DF,D3,13,93,F9,1.0
Backdoor.Graybird-33e8337aad51e26cebf92f17cdc0c3ffa5ed55c74de4e7cd5b92db2d75e15339,T1,D7,24,50,82,C6,9C,56,43,80,B4,32,DB,98,77,C3,F1,6B,EA,EE,14,3A,14,8E,22,61,F5,95,D4,9F,65,FE,E3,13,C2,6C,1.0
Backdoor.Graybird-340c5cae28749592b0ea9453bd4f7d109b2fe2c8a03041e5da9961a7339eaa34,T1,56,23,7D,81,E6,3C,93,42,08,72,30,8E,B8,73,93,46,87,75,2A,58,25,79,D8,63,A5,BD,80,F4,AE,76,DF,D6,13,D3,FE,1.0
Backdoor.Graybird-3472255f40fa8003a08d8c641d9d2c5d0f749bf4c0420fc9a22040103a97c35b,T1,E5,D2,1C,41,E6,3C,93,92,09,73,11,9C,B8,73,B7,0A,86,72,22,1C,11,B5,A4,93,EE,7D,80,79,FD,76,5F,EA,13,63,EE,1.0
Backdoor.Graybird-3473cb362c74478f5f8d200d068fbf1806d2dca138264e942574fb7abd324b42,T1,84,13,2B,87,DA,3C,93,43,84,B1,32,8F,54,B2,C3,D2,43,75,6A,58,25,78,DD,13,65,EE,80,E4,8F,BA,EB,D3,56,C3,A9,1.0
Backdoor.Graybird-349a9ef306724d4e0a569074528204ac93186fc10679de7c0fd4117b7e674adf,T1,E2,23,D2,81,E6,3C,92,82,08,76,30,8D,B4,73,E3,46,87,75,36,4C,51,75,E8,53,B9,BD,80,B4,AE,BA,9F,D2,17,93,FE,1.0
Backdoor.Graybird-34cb2e3660a417e83f902c990f20b3d0efa6e84ad20a7c769f2944cc333bc47b,T1,36,63,7B,82,DA,3C,93,42,44,72,31,8E,68,B3,93,82,87,75,6A,58,25,74,D8,53,65,FE,80,E4,AF,B6,EF,D3,13,D3,F9,1.0
Backdoor.Graybird-3512ae0eba2c3f6e4e6195c0e1bd70b9a9e3b3d7708f403ed4b5e281e4a1a120,T1,CA,C2,7C,81,D9,3C,A7,92,0E,A7,21,8D,D8,91,E5,43,C3,75,36,4C,51,39,E4,63,A8,8E,C0,B4,9F,BA,9F,C1,57,A3,FB,1.0
Backdoor.Graybird-35808e06d5ab73341611da612e9a37252f07f2bc7801725569ebb49895f59a05,T1,AE,D2,B6,82,C6,9C,52,43,44,B4,31,CB,94,77,83,A1,6B,FA,ED,44,3A,59,8D,32,61,F9,94,D0,9F,79,FE,E3,07,C2,6D,1.0
Backdoor.Graybird-365bea068bcb7c92f0dbf6868e8e6ac2d49feaae2d6464a4fbf9d4dc28ea4189,T1,F2,82,64,C2,D5,7C,E2,42,08,75,31,8F,A4,A2,D2,82,87,79,79,48,71,79,D8,27,65,DD,80,F0,8F,B6,DB,D3,86,D3,FA,1.0
Backdoor.Graybird-3796ba03a70668fe9a40cd399da7963d6dded9136682059f1443d5b493d37a83,T1,5D,23,81,C2,DA,3C,A3,82,0D,75,31,8E,A4,E2,D1,82,47,39,75,8C,51,7D,D8,57,65,DD,80,F1,8F,FA,AB,C2,8A,93,F6,1.0
Backdoor.Graybird-3799f857d04896d9155038342c96e32490cab5ce67ddf33dab263184d95ea41b,T1,F3,33,8F,81,E6,3C,53,43,09,72,30,8E,B8,73,A3,46,87,76,26,4C,25,75,D4,63,A9,BD,80,B4,AE,7A,DF,D6,13,93,FE,1.0
Backdoor.Graybird-3920bdcebc14233421ec142268749c0cc1358bba2af6e2e561ce3ac346db2d8e,T1,96,03,7F,41,E6,3C,93,43,09,72,30,8D,B8,B3,E7,46,87,76,26,18,12,75,98,53,A9,BD,80,F4,EE,76,DF,E6,13,A3,ED,1.0
Backdoor.Graybird-3a81fabef97e62aaefc48fa799a00c00d531afda4d49a58e90161dfef215d056,T1,DD,D2,5F,42,D9,78,93,E1,0A,BF,20,8D,A4,62,94,82,DA,35,2A,4C,D1,35,FC,67,B9,5C,C0,B0,DE,B6,5B,C2,97,53,FF,1.0
Backdoor.Graybird-3ac9b0f65d3a26c5fe28cad9856d7119d2088f7cab78c37aa12348ea3b3bc000,T1,70,03,50,82,D9,2C,67,43,09,66,31,8F,A8,A1,D3,82,83,75,7A,48,35,39,D8,63,64,DD,80,F4,9F,BA,DF,C2,57,D3,FA,1.0
Backdoor.Graybird-3b6230033969a93587fc1d795bd800de9478b437d400bfaa3a1fd7ab0b082102,T1,A5,43,BB,41,D5,3C,93,92,09,77,30,8D,B4,73,A2,82,CA,72,26,4C,51,75,A8,53,BA,BC,80,F4,EE,B6,8F,D2,57,93,FE,1.0
Backdoor.Graybird-3bd529df6d6af1c83eca9ff3fd494825f98908773b73ab6023b2d08e30fc9141,T1,6A,43,8B,82,D6,2C,93,43,04,72,31,8E,B8,B3,93,82,87,75,6A,58,25,79,D8,53,65,FD,80,F4,AE,BA,DF,D3,13,93,ED,1.0
Backdoor.Graybird-3d4c37580fcfcd3162538e57ebfd65f89caf379c9158dba626690d2ac7a24154,T1,6E,F1,8E,83,D6,3C,E3,92,0C,65,31,CE,84,92,86,82,47,79,75,8C,61,7D,D8,67,95,DE,80,F0,8F,B7,DB,C2,9A,C3,BA,1.0
Backdoor.Graybird-3f40d1874219ac8f6ba08b587a9547da773b0356b58e4d40f584b595740fa7a4,T1,58,33,70,81,E6,2C,93,43,08,72,31,8E,B8,73,93,46,87,75,2A,48,25,75,D8,63,A5,BD,80,B4,EE,7A,DF,D2,17,D3,FE,1.0
Backdoor.Graybird-3f4164fb248bf610709ce9546b2e1a2463d08270db94dbd7b8e42d16023a71b0,T1,05,13,C0,81,E6,3C,93,42,0D,72,30,8D,B8,A3,A3,46,87,35,32,5C,11,79,E4,53,A9,BD,80,74,EE,BA,9F,D6,57,93,FE,1.0
Backdoor.Graybird-3fb1f955c5fedc93b423be002cde34a6436194ec36974c890a015566749cbfc9,T1,3E,B2,0A,83,D6,6C,92,43,44,B5,31,CF,94,B2,83,D2,47,B9,BD,48,75,69,DC,23,65,ED,80,E0,8F,BA,EB,C3,56,C3,A9,1.0
Backdoor.Graybird-4038529ffe618fbca7b702da5a4588bf4f827bfe34e22bedebc16bea8ac5cd5b,T1,22,B3,16,42,C5,AC,43,43,44,B5,31,CB,A4,73,D3,A1,AB,BA,AE,04,39,24,9D,23,65,F9,80,E4,DF,75,EE,E3,17,D2,AD,1.0
Backdoor.Graybird-43915d2a212d5620489fc5dbbbf17d934ab474e34a1058aa28ea2ae0160d6a7e,T1,90,72,5E,C2,DA,7C,E2,42,08,75,31,8F,94,A2,95,82,47,79,75,8C,61,7D,D8,53,A5,DE,40,F0,8F,BB,DB,C3,9A,C3,BA,1.0
Backdoor.Graybird-442eb6cd344fcc9a88b1ef5a28e662ea6a9415ff012b27b75ca3b8c07af9ae61,T1,52,E2,6F,43,C5,6C,83,93,05,FA,30,CE,90,72,96,C1,AB,75,5F,08,92,25,AD,27,79,A8,C0,E0,DE,A6,DB,D3,57,93,EF,1.0
Backdoor.Graybird-45133c62869e94f748e8f947328388b6cf1190cc750f712e25695ff4e87a8ec0,T1,E0,33,5C,41,D5,2C,83,93,09,B7,30,8D,B4,73,A7,86,9A,72,1B,08,51,75,A8,13,B9,BD,C0,F4,ED,76,8F,E6,17,A3,EE,1.0
Backdoor.Graybird-4611ce9f971ce2a63d17317779aaa34aebb478c1a91c3031abf37b39a0e8a754,T1,E2,03,5C,41,C9,68,93,E2,0A,BB,30,8D,B4,61,E5,82,DB,75,2B,08,91,35,B8,27,BD,5D,C0,B0,DE,A6,5F,C2,57,93,FF,1.0
Backdoor.Graybird-4768fb2a55ff7a38d1c9f26c22517c25e81050233f75a43909f56cf2bab55549,T1,61,72,2C,81,DA,2C,A6,93,0E,57,21,CD,A8,D0,E5,43,C3,75,26,4C,60,39,E4,63,B8,8E,81,74,5E,BA,9F,C1,67,E3,FB,1.0
Backdoor.Graybird-48641176d1e0ac527a5bb4a797afe8ebddb93625bfb2e7878a0cd40164988326,T1,F8,C3,7C,42,CA,AC,53,43,45,B1,31,CB,E4,73,D3,A1,AB,BA,AE,04,29,14,9D,23,65,F9,80,D4,DE,75,EE,E3,1B,C2,DD,1.0
Backdoor.Graybird-4873836e446dfd4e56e491364059f5f6642b9e62c3af541249d2a58f060d810a,T1,58,B3,5F,89,D6,3C,B3,81,08,6B,30,4E,94,91,5A,C2,47,B9,35,CC,92,BE,D4,13,55,9F,C0,B4,DE,BB,5B,91,8A,E3,FE,1.0
Backdoor.Graybird-49584192e192cd599da8b7891636d00d60f6e3a1714cec9384e53f0c3ff64dad,T1,1C,B2,2E,42,C9,78,93,F2,0A,FF,20,8D,90,62,94,82,EA,35,17,48,D1,35,BD,27,BD,69,C0,B0,DD,A6,4B,D6,9B,53,FF,1.0
Backdoor.Graybird-4a7c1f06c02316a383b3509b0530d50eea0fc52e3292f80ef6d99337ed1976cf,T1,C7,33,8F,41,E9,38,93,92,0A,BB,20,8D,B4,63,A6,46,CA,32,26,0C,51,75,B8,53,BD,7D,C0,B0,ED,B6,4F,D6,57,63,FF,1.0
Backdoor.Graybird-4b3805331f864f1002915b1b89e8f70643baaf6b43b688a32c2cb3810ffb3b4a,T1,EA,B2,30,C9,C6,7C,B3,81,08,1A,31,8E,D4,91,4A,D2,43,B8,75,CD,92,BE,D4,13,51,DF,80,A5,CF,BB,57,82,9A,E7,FA,1.0
Backdoor.Graybird-4ee3bccc014a06cfedefb088d22c918bad78cbcb74568815a14ebfbbcf119d37,T1,91,43,A4,C9,D6,3C,B3,81,08,5A,31,4F,94,91,4A,D2,43,B9,75,CD,A6,BE,D4,13,51,DF,80,B4,CF,BB,9B,81,89,E3,BA,1.0
